event_id,sample_id,role,event_time,event_type,event_text,label,target_text
E-0001,1,observer,2026-01-01T14:34:11Z,netflow,Outbound connection from WS-141 to 190.44.216.9:80 bytes_out=198493,benign,Normal network flow.
E-0002,2,observer,2026-01-01T15:27:29Z,auth,User youssef login success on WS-288 from 10.214.112.115,benign,Normal authentication event.
E-0003,3,observer,2026-01-04T21:00:29Z,dns,High entropy DNS query gfygwwqc38hyf9sxmecosfo.cdn.verify.cn from WS-217,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0003,4,responder,2026-01-04T21:00:29Z,alert,Alert received: High entropy DNS query gfygwwqc38hyf9sxmecosfo.cdn.verify.cn from WS-217,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0003,5,consultant,2026-01-04T21:00:29Z,correlation,Correlation analysis for High entropy DNS query gfygwwqc38hyf9sxmecosfo.cdn.verify.cn from WS-217,staged_attack,"Hypothesis: multi-stage compromise leading to DNS-based exfiltration. Next: IR escalation, isolate host, hunt related DNS IOCs, review auth history."
E-0004,6,observer,2026-01-18T00:50:23Z,netflow,Unusual outbound connection from SRV-50 to 10.83.236.98:53 bytes_out=1942685,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0004,7,responder,2026-01-18T00:50:23Z,alert,Alert received: Unusual outbound connection from SRV-50 to 10.83.236.98:53 bytes_out=1942685,anomalous,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0005,8,observer,2026-01-02T08:35:10Z,app,Service crm responded 200 OK on WS-118,benign,Normal application health event.
E-0005,9,responder,2026-01-02T08:35:10Z,alert,Alert received: Service crm responded 200 OK on WS-118,benign,Dismiss as low risk; continue monitoring.
E-0006,10,observer,2026-01-08T15:18:47Z,app,Service payments responded 200 OK on WS-109,benign,Normal application health event.
E-0007,11,observer,2026-01-14T01:58:37Z,netflow,Unusual outbound connection from WS-135 to 36.252.46.194:80 bytes_out=1807863,anomalous,Raise alert: suspicious C2/exfil pattern; verify destination reputation and isolate if confirmed.
E-0007,12,responder,2026-01-14T01:58:37Z,alert,Alert received: Unusual outbound connection from WS-135 to 36.252.46.194:80 bytes_out=1807863,anomalous,"Classify as possible C2. Recommend: block destination IP, isolate host if beaconing persists, hunt IOCs."
E-0008,13,observer,2026-01-02T13:00:27Z,auth,User nour login success on WS-198 from 10.239.128.249,benign,Normal authentication event.
E-0008,14,responder,2026-01-02T13:00:27Z,alert,Alert received: User nour login success on WS-198 from 10.239.128.249,benign,Dismiss as low risk; continue monitoring.
E-0009,15,observer,2026-01-03T18:43:52Z,netflow,Outbound connection from SRV-50 to 10.80.232.1:53 bytes_out=1051805,benign,Normal network flow.
E-0010,16,observer,2026-01-16T04:15:49Z,dns,High entropy DNS query 7au5bhxtpdpff5e8ii49kq71n8.img.account.cn from WS-153,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0010,17,responder,2026-01-16T04:15:49Z,alert,Alert received: High entropy DNS query 7au5bhxtpdpff5e8ii49kq71n8.img.account.cn from WS-153,high_risk,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0011,18,observer,2026-01-11T23:00:35Z,app,Service billing responded 200 OK on WS-062,benign,Normal application health event.
E-0012,19,observer,2026-01-02T17:21:23Z,dns,DNS query www.amazon.com from SRV-24,benign,Normal DNS activity; no action needed.
E-0013,20,observer,2026-01-14T02:07:35Z,auth,User unknown login success on WS-068 from 10.242.124.201,benign,Normal authentication event.
E-0014,21,observer,2026-01-16T23:53:06Z,dns,High entropy DNS query gdzvgpmm82i1lr3pe2.cdn.secure.tk from WS-221,anomalous,Raise alert: suspected DNS tunneling; collect DNS logs for confirmation.
E-0014,22,responder,2026-01-16T23:53:06Z,alert,Alert received: High entropy DNS query gdzvgpmm82i1lr3pe2.cdn.secure.tk from WS-221,anomalous,"Classify as potential exfiltration. Recommend: collect DNS logs, block domain if confirmed, isolate host pending approval."
E-0014,23,consultant,2026-01-16T23:53:06Z,correlation,Correlation analysis for High entropy DNS query gdzvgpmm82i1lr3pe2.cdn.secure.tk from WS-221,benign,No strong evidence of coordinated attack; document findings and continue monitoring.
E-0015,24,observer,2026-01-06T17:42:03Z,endpoint,Suspicious process powershell executed on WS-086 by user nour,anomalous,Raise alert: suspicious execution; collect process tree and quarantine if needed.
